Unnamed: 0,pl_name,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
214,GJ 3090 b,1,1,1,4,2,22.4751,0.02605,-0.02605,22.4751,0.02605,-0.02605,0.0
215,GJ 3138 b,1,1,3,1,1,28.4712,0.03505,-0.03505,28.4712,0.03505,-0.03505,0.0
216,GJ 3138 c,2,1,3,1,1,28.4712,0.03505,-0.03505,28.4712,0.03505,-0.03505,0.0
217,GJ 3138 d,3,1,3,1,1,28.4712,0.03505,-0.03505,28.4712,0.03505,-0.03505,0.0
218,GJ 317 b,1,1,2,1,1,15.1968,0.013,-0.0129,15.1968,0.013,-0.0129,1.0
219,GJ 317 c,2,1,2,1,1,15.1968,0.013,-0.0129,15.1968,0.013,-0.0129,1.0
220,GJ 3222 b,1,2,1,1,1,18.23817,4.8765,-4.7835,18.23817,4.8765,-4.7835,1.0
221,GJ 328 b,1,1,2,1,1,20.5266,0.01685,-0.01685,20.5266,0.01685,-0.01685,0.0
222,GJ 328 c,2,1,2,1,1,20.5266,0.01685,-0.01685,20.5266,0.01685,-0.01685,0.0
223,GJ 3293 b,1,1,4,1,1,20.1903,0.0216,-0.0216,20.1903,0.0216,-0.0216,0.0
224,GJ 3293 c,2,1,4,1,1,20.1903,0.0216,-0.0216,20.1903,0.0216,-0.0216,0.0
225,GJ 3293 d,3,1,4,1,1,20.1903,0.0216,-0.0216,20.1903,0.0216,-0.0216,0.0
226,GJ 3293 e,4,1,4,1,1,20.1903,0.0216,-0.0216,20.1903,0.0216,-0.0216,0.0
227,GJ 3323 b,1,1,2,1,1,5.37484,0.00172,-0.00172,5.37484,0.00172,-0.00172,0.0
228,GJ 3323 c,2,1,2,1,1,5.37484,0.00172,-0.00172,5.37484,0.00172,-0.00172,0.0
229,GJ 3341 b,1,1,1,1,1,23.619,0.0291,-0.029,23.619,0.0291,-0.029,0.0
230,GJ 338 B b,1,2,1,1,1,6.33256,0.00167,-0.00168,6.33256,0.00167,-0.00168,4.0
231,GJ 3470 b,1,1,1,1,1,29.4214,0.0508,-0.0507,29.4214,0.0508,-0.0507,3.0
232,GJ 3473 b,1,2,2,4,2,27.3644,0.0376,-0.0376,27.3644,0.0376,-0.0376,1.0
233,GJ 3473 c,2,2,2,1,1,27.3644,0.0376,-0.0376,27.3644,0.0376,-0.0376,1.0
234,GJ 3512 b,1,1,2,1,1,9.48637,0.00857,-0.00856,9.48637,0.00857,-0.00856,1.0
235,GJ 3512 c,2,1,2,1,1,9.48637,0.00857,-0.00856,9.48637,0.00857,-0.00856,1.0
236,GJ 357 b,1,1,3,4,2,9.44181,0.00511,-0.00511,9.44181,0.00511,-0.00511,0.0
237,GJ 357 c,2,1,3,1,3,9.44181,0.00511,-0.00511,9.44181,0.00511,-0.00511,0.0
238,GJ 357 d,3,1,3,1,3,9.44181,0.00511,-0.00511,9.44181,0.00511,-0.00511,0.0
239,GJ 3634 b,1,1,1,1,1,20.3779,0.03165,-0.03165,20.3779,0.03165,-0.03165,0.0
240,GJ 367 b,1,1,3,4,2,9.41263,0.002835,-0.002835,9.41263,0.002835,-0.002835,0.0
